# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 2.239084079444450708e+03 -1.006640509169394448e+01 -1.564264881550992925e+01 2.361359136222974886e+00 -6.881717469605914239e+00 -8.182544432852596472e-01 -1.523227411567802614e+00 -2.441836636867220189e+00 2.263676027374750266e-01
1.505000000000000000e+02 4.231496836966010051e+03 -3.794402244418157721e+01 2.991500086646470891e+01 -5.029541545930727153e+01 -4.009523306312210167e+01 7.302685392311226709e-01 -5.426391320638345173e-01 -5.997576372571717940e-01 8.812225555929757981e-01
2.005000000000000000e+02 5.638633711447520000e+03 -2.279170845139250545e+01 -1.096758243327412430e+01 -3.076074054814318171e+00 -3.249884813042621801e+01 3.036171470158007257e-01 1.288464236647352545e-01 -1.488075537367713752e-01 5.356191810268479125e-01
2.505000000000000000e+02 5.543331741089376919e+03 4.639609306379384179e+01 -1.099007426788372221e+01 7.722197438632024102e+01 -1.226125424976515710e+01 3.236551188817323510e+00 3.049948832293696288e-01 9.659103186113301431e-01 2.127716548580673439e-01
3.005000000000000000e+02 4.156792349341686531e+03 1.171656366109988454e+02 7.137952315644469081e+00 1.240911984048205454e+02 3.883452576697798975e-01 9.321953364099455186e+00 -9.092527631092691687e-01 -1.182693251043817756e-01 2.069527028993389806e-01
3.505000000000000000e+02 2.448316729321766616e+03 8.472945813187359931e+01 9.871980928816008749e-01 8.985560720219645248e+01 1.000928581823027663e+01 1.835213880627689420e+01 -2.727307897702139772e-01 7.582306791611453933e-01 4.560619700938435828e-01
4.005000000000000000e+02 1.835753931832269473e+03 -2.101037062812012302e-01 -1.134956459657186478e+01 2.158271627142237248e-01 1.667567203582853042e+00 2.050178229502732918e+01 -4.629829862541411933e-01 4.996705743845558101e-01 -3.686133931741114034e-01
4.505000000000000000e+02 1.862982138316604733e+03 -6.604277419120141701e+01 -2.810745867363998229e+00 -6.283728711100952324e+01 -3.486086108984773890e+00 1.733377318962757485e+01 -4.046991043031426538e-01 2.475094430573441737e-02 -6.755229785931627928e-01
5.005000000000000000e+02 2.430893435894537106e+03 -5.250551988232783884e+01 5.497960106318839024e+00 -5.366800485459940973e+01 9.001353313634799846e+00 7.892160359262017089e+00 6.415934881729872252e-01 -9.265439260787596831e-01 -3.811477125080117712e-01
5.505000000000000000e+02 2.550061235909887273e+03 7.105934151734161652e+00 -7.916644627434351600e-01 1.134574533278772712e+01 -2.276084064307999366e+00 8.853550599134889509e+00 -6.338613387369290697e-01 8.895624202989370621e-01 -1.124241909865744543e-01
6.005000000000000000e+02 2.115696690521001528e+03 3.218272664779726711e+01 -6.438587280823688808e+00 3.028327994828957515e+01 -2.151604245527832138e+00 1.957814488694250343e+01 6.992567442520233323e-01 -1.300592755791768917e+00 2.318623502616637966e-01
6.505000000000000000e+02 1.823422665585712593e+03 -1.418146276365303038e+01 2.189900612404306113e+00 -2.159601253710178170e+01 2.264321746598782159e+00 3.320534836385533595e+01 -1.185536588373747646e+00 -4.628669126288931790e-01 -2.440255880119467646e-01
7.005000000000000000e+02 1.836191497722483064e+03 -1.013990171241766660e+02 3.122778236166995569e+00 -9.476999548123205841e+01 -6.790579108757957449e+00 3.676199413122238013e+01 -1.835582939855061324e-01 -2.664252118906353384e-01 -2.067770436135805967e-01
